pixel_x,pixel_y,x,y
514,534,35.877192982456144,5.633802816901408
338,488,20.43859649122807,9.683098591549296
196,488,7.982456140350877,9.683098591549296
445,483,29.82456140350877,10.12323943661972
394,477,25.35087719298246,10.651408450704224
374,471,23.596491228070178,11.179577464788728
372,455,23.42105263157895,12.588028169014088
394,432,25.35087719298246,14.612676056338032
406,426,26.403508771929822,15.140845070422536
363,426,22.63157894736842,15.140845070422536
309,426,17.894736842105264,15.140845070422536
553,415,39.29824561403509,16.109154929577464
346,415,21.140350877192983,16.109154929577464
425,409,28.07017543859649,16.63732394366197
357,409,22.105263157894736,16.63732394366197
471,403,32.10526315789474,17.16549295774648
352,403,21.666666666666668,17.16549295774648
480,398,32.89473684210527,17.605633802816897
428,392,28.333333333333332,18.133802816901408
360,392,22.36842105263158,18.133802816901408
349,390,21.403508771929825,18.309859154929576
525,386,36.84210526315789,18.661971830985912
474,386,32.36842105263158,18.661971830985912
310,381,17.982456140350877,19.102112676056336
451,375,30.350877192982455,19.630281690140844
604,369,43.771929824561404,20.158450704225352
556,369,39.56140350877193,20.158450704225352
423,369,27.89473684210526,20.158450704225352
400,369,25.877192982456144,20.158450704225352
309,369,17.894736842105264,20.158450704225352
448,364,30.087719298245613,20.598591549295776
596,364,43.07017543859649,20.598591549295776
338,364,20.43859649122807,20.598591549295776
575,350,41.228070175438596,21.830985915492956
525,351,36.84210526315789,21.742957746478876
480,347,32.89473684210527,22.095070422535212
372,347,23.42105263157895,22.095070422535212
542,341,38.333333333333336,22.62323943661972
579,336,41.578947368421055,23.063380281690144
536,335,37.80701754385965,23.151408450704224
485,335,33.33333333333333,23.151408450704224
462,335,31.31578947368421,23.151408450704224
425,335,28.07017543859649,23.151408450704224
508,330,35.35087719298245,23.591549295774648
516,324,36.05263157894737,24.119718309859156
474,324,32.36842105263158,24.119718309859156
437,324,29.122807017543863,24.119718309859156
411,324,26.842105263157894,24.119718309859156
499,321,34.56140350877193,24.383802816901408
304,318,17.45614035087719,24.647887323943664
474,307,32.36842105263158,25.616197183098592
479,301,32.80701754385965,26.1443661971831
463,296,31.403508771929822,26.58450704225352
451,296,30.350877192982455,26.58450704225352
400,296,25.877192982456144,26.58450704225352
521,296,36.49122807017544,26.58450704225352
516,290,36.05263157894737,27.112676056338028
474,290,32.36842105263158,27.112676056338028
445,290,29.82456140350877,27.112676056338028
593,285,42.80701754385965,27.55281690140845
502,284,34.82456140350877,27.640845070422536
621,279,45.26315789473684,28.080985915492956
522,279,36.578947368421055,28.080985915492956
511,279,35.6140350877193,28.080985915492956
486,279,33.421052631578945,28.080985915492956
465,279,31.57894736842105,28.080985915492956
567,273,40.526315789473685,28.609154929577464
542,273,38.333333333333336,28.609154929577464
502,273,34.82456140350877,28.609154929577464
428,273,28.333333333333332,28.609154929577464
411,273,26.842105263157894,28.609154929577464
513,267,35.78947368421053,29.137323943661972
406,268,26.403508771929822,29.049295774647888
589,264,42.45614035087719,29.401408450704224
547,262,38.771929824561404,29.577464788732392
491,262,33.85964912280702,29.577464788732392
468,262,31.842105263157894,29.577464788732392
437,262,29.122807017543863,29.577464788732392
377,262,23.859649122807017,29.577464788732392
604,259,43.771929824561404,29.841549295774648
570,259,40.78947368421053,29.841549295774648
547,253,38.771929824561404,30.369718309859156
437,250,29.122807017543863,30.633802816901408
590,245,42.54385964912281,31.073943661971832
536,245,37.80701754385965,31.073943661971832
329,245,19.649122807017545,31.073943661971832
559,239,39.824561403508774,31.602112676056336
513,239,35.78947368421053,31.602112676056336
496,239,34.29824561403509,31.602112676056336
465,241,31.57894736842105,31.426056338028168
632,233,46.228070175438596,32.13028169014085
598,233,43.24561403508772,32.13028169014085
539,233,38.07017543859649,32.13028169014085
616,228,44.824561403508774,32.570422535211264
582,228,41.8421052631579,32.570422535211264
573,230,41.05263157894737,32.3943661971831
553,228,39.29824561403509,32.570422535211264
453,228,30.526315789473685,32.570422535211264
595,222,42.98245614035088,33.098591549295776
527,222,37.01754385964912,33.098591549295776
508,222,35.35087719298245,33.098591549295776
499,222,34.56140350877193,33.098591549295776
439,222,29.29824561403509,33.098591549295776
647,217,47.54385964912281,33.53873239436619
622,219,45.35087719298246,33.36267605633803
580,216,41.66666666666667,33.62676056338028
533,216,37.54385964912281,33.62676056338028
516,216,36.05263157894737,33.62676056338028
457,217,30.87719298245614,33.53873239436619
591,213,42.63157894736842,33.890845070422536
329,205,19.649122807017545,34.595070422535215
644,205,47.280701754385966,34.595070422535215
584,205,42.01754385964912,34.595070422535215
553,205,39.29824561403509,34.595070422535215
513,205,35.78947368421053,34.595070422535215
614,204,44.64912280701754,34.683098591549296
564,200,40.26315789473684,35.03521126760563
547,199,38.771929824561404,35.12323943661972
502,198,34.82456140350877,35.21126760563381
644,194,47.280701754385966,35.563380281690144
591,197,42.63157894736842,35.29929577464789
553,194,39.29824561403509,35.563380281690144
514,194,35.877192982456144,35.563380281690144
564,192,40.26315789473684,35.73943661971831
615,191,44.73684210526316,35.82746478873239
578,188,41.49122807017544,36.09154929577465
474,188,32.36842105263158,36.09154929577465
530,185,37.280701754385966,36.3556338028169
627,183,45.78947368421053,36.53169014084507
597,185,43.15789473684211,36.3556338028169
567,182,40.526315789473685,36.61971830985915
540,182,38.15789473684211,36.61971830985915
428,182,28.333333333333332,36.61971830985915
638,177,46.75438596491228,37.059859154929576
553,177,39.29824561403509,37.059859154929576
532,177,37.45614035087719,37.059859154929576
508,173,35.35087719298245,37.41197183098592
493,172,34.03508771929825,37.5
608,175,44.122807017543856,37.235915492957744
590,171,42.54385964912281,37.58802816901408
567,171,40.526315789473685,37.58802816901408
542,171,38.333333333333336,37.58802816901408
621,165,45.26315789473684,38.11619718309859
601,165,43.50877192982456,38.11619718309859
471,165,32.10526315789474,38.11619718309859
582,164,41.8421052631579,38.20422535211267
550,160,39.03508771929825,38.556338028169016
488,160,33.59649122807017,38.556338028169016
615,158,44.73684210526316,38.732394366197184
576,154,41.31578947368421,39.08450704225352
567,158,40.526315789473685,38.732394366197184
515,157,35.96491228070175,38.820422535211264
434,154,28.859649122807017,39.08450704225352
647,152,47.54385964912281,39.26056338028169
608,150,44.122807017543856,39.436619718309856
591,151,42.63157894736842,39.348591549295776
440,149,29.385964912280706,39.524647887323944
622,143,45.35087719298246,40.05281690140845
525,143,36.84210526315789,40.05281690140845
479,140,32.80701754385965,40.316901408450704
649,137,47.719298245614034,40.58098591549296
615,137,44.73684210526316,40.58098591549296
581,140,41.75438596491228,40.316901408450704
570,131,40.78947368421053,41.109154929577464
496,131,34.29824561403509,41.109154929577464
420,131,27.631578947368425,41.109154929577464
519,128,36.31578947368421,41.37323943661972
638,126,46.75438596491228,41.54929577464789
505,126,35.08771929824561,41.54929577464789
442,123,29.561403508771928,41.813380281690144
672,120,49.73684210526316,42.07746478873239
598,131,43.24561403508772,41.109154929577464
596,120,43.07017543859649,42.07746478873239
587,122,42.280701754385966,41.901408450704224
564,120,40.26315789473684,42.07746478873239
554,123,39.3859649122807,41.813380281690144
649,114,47.719298245614034,42.605633802816904
437,112,29.122807017543863,42.78169014084507
672,109,49.73684210526316,43.04577464788732
629,113,45.96491228070175,42.693661971830984
557,112,39.64912280701755,42.78169014084507
545,109,38.59649122807017,43.04577464788732
505,109,35.08771929824561,43.04577464788732
614,109,44.64912280701754,43.04577464788732
661,98,48.771929824561404,44.014084507042256
627,97,45.78947368421053,44.102112676056336
584,97,42.01754385964912,44.102112676056336
559,97,39.824561403508774,44.102112676056336
632,92,46.228070175438596,44.54225352112676
576,98,41.31578947368421,44.014084507042256
547,92,38.771929824561404,44.54225352112676
584,86,42.01754385964912,45.070422535211264
570,83,40.78947368421053,45.33450704225352
649,80,47.719298245614034,45.598591549295776
627,75,45.78947368421053,46.0387323943662
610,75,44.29824561403509,46.0387323943662
599,75,43.333333333333336,46.0387323943662
539,74,38.07017543859649,46.12676056338028
661,69,48.771929824561404,46.566901408450704
604,69,43.771929824561404,46.566901408450704
593,69,42.80701754385965,46.566901408450704
649,66,47.719298245614034,46.83098591549296
564,63,40.26315789473684,47.09507042253521
546,66,38.68421052631579,46.83098591549296
579,62,41.578947368421055,47.183098591549296
628,56,45.87719298245614,47.7112676056338
570,52,40.78947368421053,48.063380281690144
661,41,48.771929824561404,49.03169014084507
650,41,47.80701754385965,49.03169014084507
621,41,45.26315789473684,49.03169014084507
576,41,41.31578947368421,49.03169014084507
